Address,Year Build,GLA,# of rooms,# of bath,Closing Date,Sale Price
"81 montespan ave., phoenix, az",2011,1971,4.5,2,22/08/2021,342600
"198 unceremoniously ave., phoenix, az",1966,1783,4,2,20/07/2021,303500
"163 unsafeness st., atlanta, ga",1959,1883,4.5,2,03/08/2021,369200
"171 voltigeur ave., phoenix, az",2019,1497,3.5,1,05/11/2021,253900
"94 factorize rd., phoenix, az",1951,1829,4.5,2,26/08/2021,391300
"111 red-ink st., phoenix, az",1987,1794,4,1,08/09/2021,312500
"66 lah-di-dah rd., las vegas, nv",1965,1484,3.5,2,31/07/2021,254200
"71 terrier st., atlanta, ga",1985,1867,4.5,2,07/10/2021,348300
"168 brutalitarian st., phoenix, az",2003,1658,4,2,27/07/2021,334800
"141 splenorenal ave., phoenix, az",1980,1845,4.5,2,15/08/2021,307300
"75 winebibbers st., phoenix, az",1964,1690,4,2,17/10/2021,378500
"82 débâcle st., atlanta, ga",1974,1839,4.5,2,16/08/2021,322300
"180  shostakovich  rd.,  houston,  tx",2003,1447,0,1,22/08/2021,272200
"44  niggerly  st.,  houston,  tx",1960,1916,0,2,28/09/2021,402700
"151  page-turner  ave.,  houston,  tx",2018,1642,0,1,15/10/2021,338000
"33 birdwatch ave., phoenix, az",1992,1611,4,1,15/08/2021,275400
"199 pint-pot st., phoenix, az",1978,1947,4.5,1,24/08/2021,384700
"93 eilding st., phoenix, az",2007,1837,4.5,2,29/07/2021,368700
"61 coaxingly ave., atlanta, ga",1977,1921,4.5,2,12/09/2021,394900
"68  gymnocarpous  rd.,  atlanta,  ga",1950,1795,4,1,01/10/2021,337500
"138  squattle  st.,  phoenix,  az",2013,1663,4,1,13/10/2021,323800
"145 tsunamilike rd., phoenix, az",2002,1955,4.5,2,22/10/2021,386100
"167 pentose st., atlanta, ga",1966,1467,3.5,1,22/08/2021,267900
"129 brama st., las vegas, nv",1986,1964,4.5,2,13/09/2021,353800
"48 alteration ave., atlanta, ga",1957,1626,4,2,31/08/2021,306500
"7 chimbley rd., phoenix, az",1971,1927,4.5,2,04/10/2021,374700
"21 uninhabited ave., phoenix, az",1952,1638,4,2,25/10/2021,269200
"106 hyphomycete st., phoenix, az",2002,1492,3.5,1,28/09/2021,290100
"94 non-existent st., atlanta, ga",1975,1584,3.5,1,09/11/2021,275000
"116 doctrinaires st., atlanta, ga",1990,1959,4.5,2,13/09/2021,402400
"24 tawhid st., atlanta, ga",1971,1632,4,2,23/09/2021,334100
"166 egocentrically st., atlanta, ga",1983,1807,4.5,2,15/08/2021,367400
"18  gunzel  st.,  phoenix,  az",1976,1797,4,2,21/08/2021,327000
"105 nonmanual rd., houston, tx",1982,1626,0,2,18/09/2021,290100
"94 sivan rd., atlanta, ga",1961,1421,3.5,1,12/08/2021,238000
"115 unredeemable rd., atlanta, ga",1961,1666,4,2,17/10/2021,265000
"168 amygdaloid st., phoenix, az",1984,1649,4,2,12/11/2021,347300
"126 mountaineers st., houston, tx",1981,1442,0,2,25/09/2021,246500
"172 embroidering st., atlanta, ga",2012,1731,4,2,27/09/2021,346500
"38 clotures rd., phoenix, az",1968,1878,4.5,2,28/07/2021,312800
"197  gemmation  ave.,  phoenix,  az",1992,1662,4,2,28/09/2021,280800
"81 wood-charcoal st., phoenix, az",1996,1631,4,2,13/11/2021,348300
"153 threshing st., phoenix, az",1995,1633,4,2,12/11/2021,325100
"134 eugenism st., houston, tx",2005,1882,0,1,05/10/2021,399000
"165 orewood st., phoenix, az",1995,1871,4.5,2,22/09/2021,347300
"184 optimacy ave., phoenix, az",2010,1719,4,2,25/09/2021,372400
"134  candy-like  ave.,  phoenix,  az",1966,1650,4,1,19/09/2021,271300
"132 disburdens st., phoenix, az",1977,1823,4.5,2,19/08/2021,377200
"59 solidifies st., las vegas, nv",1953,1713,4,1,04/11/2021,299900
"126 phyre rd., las vegas, nv",2005,1764,4,1,17/10/2021,336100
"131 blegging st., las vegas, nv",1960,1518,3.5,1,24/08/2021,259900
"16 unpolish st., phoenix, az",1978,1902,4.5,2,24/09/2021,391000
"51 amygdaloids ave., phoenix, az",2005,1696,4,1,27/07/2021,349300
"122 hallucinations st., phoenix, az",2000,1926,4.5,2,28/07/2021,347600
"147 exported st., phoenix, az",1999,1411,3.5,1,17/10/2021,291000
"72 bandileer rd., phoenix, az",1979,1443,3.5,1,25/09/2021,233800
"130  cardiomyocytes  rd.,  atlanta,  ga",1994,1766,4,2,02/10/2021,293200
"184 drafting-room st., las vegas, nv",2010,1570,3.5,1,04/09/2021,268900
"152 wasteway st., las vegas, nv",2017,1468,3.5,1,04/11/2021,273900
"51 algarrobilla st., phoenix, az",1987,1599,3.5,2,24/08/2021,270500
"4 buttfucker rd., atlanta, ga",1957,1523,3.5,1,19/10/2021,256900
"40 plasmacytoma rd., phoenix, az",1999,1682,4,2,11/10/2021,344200
"195 anticapitalist st., atlanta, ga",1979,1651,4,1,16/08/2021,321600
"29 goods-train st., las vegas, nv",1953,1579,3.5,2,21/09/2021,300400
"14 half-strained st., las vegas, nv",1960,1761,4,1,10/08/2021,303500
"160 mary stuart st., las vegas, nv",1993,1895,4.5,2,13/08/2021,375900
"141  pyrographer  rd.,  phoenix,  az",2005,1515,3.5,1,14/10/2021,303900
"140 tea-garden st., phoenix, az",2013,1935,4.5,2,27/10/2021,308600
"106  oxazoles  st.,  houston,  tx",2015,1717,0,1,22/08/2021,315800
"189 unprofitably st., phoenix, az",1998,1570,3.5,2,21/07/2021,344900
"127 choroiditis rd., phoenix, az",2008,1628,4,1,24/08/2021,285600
"60 uphand ave., phoenix, az",1954,1676,4,2,06/09/2021,308500
"129  procyclicality  rd.,  phoenix,  az",1984,1530,3.5,1,17/10/2021,288800
"179 claimable ave., houston, tx",1966,1479,0,2,07/10/2021,321800
"63 irritating ave., atlanta, ga",1987,1874,4.5,2,15/08/2021,305200
"63 niger-congo rd., atlanta, ga",1994,1954,4.5,2,06/10/2021,391200
"146 yard-rope st., atlanta, ga",1974,1501,3.5,1,03/10/2021,254100
"53 messerschmitts st., phoenix, az",2006,1575,3.5,2,22/09/2021,312100
"75 jauntiest st., phoenix, az",2003,1930,4.5,2,22/10/2021,383500
"147 intractability ave., phoenix, az",1979,1596,3.5,2,01/08/2021,268200
"157 amercements ave., atlanta, ga",2009,1632,4,2,14/09/2021,328200
"180 revolvency st., las vegas, nv",1983,1929,4.5,2,17/08/2021,345500
"74  dipole  st.,  houston,  tx",1982,1442,0,1,15/08/2021,306500
"73 carus rd., phoenix, az",2008,1785,4,2,19/10/2021,360000
"51 unimaged rd., phoenix, az",1974,1567,3.5,1,23/10/2021,315300
"89 painless ave., phoenix, az",2012,1961,4.5,1,27/09/2021,388000
"130  fat-kidneyed  ave.,  houston,  tx",1963,1650,0,1,14/11/2021,314200
"135 bootstrapping st., atlanta, ga",2017,1628,4,2,15/09/2021,308700
"94 upstay st., atlanta, ga",1961,1830,4.5,2,07/11/2021,316100
"22 gnomish rd., atlanta, ga",1990,1471,3.5,1,16/08/2021,248300
"123 choppin st., las vegas, nv",1998,1572,3.5,1,30/07/2021,345300
"82 chordotonal st., phoenix, az",1951,1561,3.5,1,05/10/2021,276500
"5 cohortative st., phoenix, az",1963,1888,4.5,2,04/10/2021,334200
"34 epigenome st., phoenix, az",2004,1581,3.5,2,09/09/2021,315800
"62 slantingly ave., phoenix, az",1953,1989,4.5,2,06/10/2021,322600
"70 prelims ave., phoenix, az",2016,1622,4,1,05/09/2021,317400
"42 skinking st., atlanta, ga",2000,1501,3.5,1,13/11/2021,267400
"93 parent-form rd., atlanta, ga",1982,1728,4,2,17/10/2021,344400
"35 convection st., las vegas, nv",1953,1524,3.5,1,01/11/2021,318200
"121 frederick rd., houston, tx",1962,1501,0,1,09/08/2021,288700
"184 prorenal rd., phoenix, az",2018,1443,3.5,1,09/09/2021,240400
"106 manhattans st., las vegas, nv",1951,1694,4,2,05/11/2021,312900
"17  umbles  ave.,  las  vegas,  nv",2008,1670,4,2,07/08/2021,344900
"24  john-a-dreams  st.,  phoenix,  az",1998,1971,4.5,2,01/11/2021,361600
"81 truthmaker st., phoenix, az",2010,1686,4,2,30/09/2021,349400
"152 gifted st., phoenix, az",2005,1794,4,2,16/09/2021,332200
"25  bandoneon  rd.,  atlanta,  ga",1965,1525,3.5,2,21/09/2021,272500
"17 cleithrum rd., las vegas, nv",1976,1929,4.5,2,02/10/2021,384600
"11 steve rd., atlanta, ga",2009,1455,3.5,2,20/09/2021,248300
"175  humored  ave.,  phoenix,  az",2004,1594,3.5,1,29/08/2021,347500
"156 yachting ave., houston, tx",1962,1726,0,2,11/11/2021,357500
"8 restitutive st., phoenix, az",1950,1566,3.5,1,21/09/2021,343400
"63 thunner st., phoenix, az",1975,1930,4.5,2,25/07/2021,359700
"37 testcross rd., atlanta, ga",1978,1776,4,1,01/10/2021,339800
"188 tropophobia ave., houston, tx",1967,1440,0,2,18/10/2021,236400
"167  farsure  st.,  las  vegas,  nv",1963,1911,4.5,2,04/09/2021,319400
"180 arguments st., las vegas, nv",1996,1586,3.5,1,04/10/2021,302500
"150 statesmanly rd., atlanta, ga",2018,1942,4.5,1,16/08/2021,385200
"191 solarisation st., phoenix, az",1961,1436,3.5,1,25/09/2021,294000
"28 tricklet st., las vegas, nv",1957,1790,4,2,17/09/2021,329000
"124 overhear ave., las vegas, nv",1964,1808,4.5,2,03/11/2021,388200
"149 sidelobes st., atlanta, ga",2007,1987,4.5,2,26/10/2021,416500
"63 chatshows st., phoenix, az",1970,1839,4.5,1,30/08/2021,335600
"193 bandito ave., houston, tx",2018,1783,0,1,30/09/2021,309700
"107 liquidate ave., houston, tx",2012,1629,0,2,29/08/2021,295100
"113 fancruft st., atlanta, ga",1971,1652,4,1,28/07/2021,359200
"124 cottah st., atlanta, ga",1973,1509,3.5,1,19/07/2021,296900
"82 gunther st., phoenix, az",1971,1685,4,2,28/09/2021,281200
"50 milk-vessel rd., atlanta, ga",1997,1607,4,2,27/09/2021,320600
"179 plutarchian st., houston, tx",2016,1877,0,1,09/08/2021,322800
"13 roosters rd., atlanta, ga",2007,1862,4.5,1,09/09/2021,331400
"89 juicers ave., atlanta, ga",1951,2000,5,2,13/09/2021,413600
"135 popsmith ave., atlanta, ga",1955,1690,4,2,31/10/2021,298600
"115 forgeability st., phoenix, az",1993,1621,4,1,13/11/2021,316300
"115 hakapiks st., atlanta, ga",1953,1603,4,1,14/09/2021,338600
"87  fireballers  ave.,  phoenix,  az",1972,1913,4.5,2,01/10/2021,369500
"116 armagnacs ave., atlanta, ga",1984,1574,3.5,2,11/08/2021,329800
"115 faintest st., las vegas, nv",2006,1427,3.5,2,18/08/2021,268000
"9 merels ave., phoenix, az",1998,1440,3.5,1,05/08/2021,284000
"188 kwangtung st., phoenix, az",1992,1539,3.5,1,10/09/2021,255900
"144 monkey-rail ave., atlanta, ga",2000,1592,3.5,1,21/09/2021,328300
"71 safeguard st., houston, tx",2006,1954,0,2,09/10/2021,422300
"91 immortal st., atlanta, ga",1977,1734,4,1,18/10/2021,365800
"85 remating rd., phoenix, az",1971,1913,4.5,2,24/07/2021,378300
"82 denigrating ave., phoenix, az",1985,1702,4,1,16/08/2021,265800
"66  estaminets  st.,  phoenix,  az",1960,1933,4.5,1,23/08/2021,337700
"24 discernment st., atlanta, ga",1973,1784,4,2,15/09/2021,341100
"45 œdicnemus st., phoenix, az",2014,1539,3.5,1,16/10/2021,295400
"158 storefront st., phoenix, az",1986,1924,4.5,2,07/08/2021,407600
"87 infraocular st., houston, tx",1978,1588,0,1,02/11/2021,277500
"131 unbearded rd., atlanta, ga",2008,1694,4,2,24/08/2021,325100
"118 appellation st., phoenix, az",1950,1605,4,2,27/07/2021,318600
"0 postdebate ave., phoenix, az",2010,1930,4.5,2,13/11/2021,380100
"148 ticker st., houston, tx",1984,1552,0,1,02/11/2021,271400
"22  coleorhiza  rd.,  phoenix,  az",2016,1650,4,2,01/09/2021,289700
"108 culver city ave., phoenix, az",2000,1696,4,2,29/08/2021,353800
"130 flamencos st., phoenix, az",1987,1763,4,1,13/09/2021,314400
"168 skeezy st., las vegas, nv",1981,1979,4.5,2,27/09/2021,327000
"175 bedding-stone st., phoenix, az",2004,1932,4.5,1,09/11/2021,366200
"147  rampions  st.,  phoenix,  az",1999,1670,4,1,15/08/2021,344200
"13 yuppifies st., atlanta, ga",1951,1645,4,1,24/10/2021,306000
"107 don't ave., phoenix, az",1960,1659,4,2,28/09/2021,329900
"162 paraganglioma st., phoenix, az",1988,1632,4,2,20/09/2021,262300
"36 perfectionist ave., atlanta, ga",1961,1439,3.5,1,17/10/2021,233500
"47  emersed  rd.,  atlanta,  ga",1969,1572,3.5,1,28/07/2021,327600
"100 speakeasy st., las vegas, nv",1986,1938,4.5,2,12/09/2021,430500
"31 scrogs rd., atlanta, ga",1975,1916,4.5,1,06/10/2021,342400
"157 repunish ave., las vegas, nv",2011,1901,4.5,2,14/11/2021,313800
"36 pingable st., atlanta, ga",1975,1778,4,2,13/08/2021,322900
"88 knappish ave., phoenix, az",2001,1423,3.5,1,15/10/2021,238400
"49 algol ave., phoenix, az",1968,1510,3.5,2,21/08/2021,280500
"104 clonking st., phoenix, az",1969,1874,4.5,2,27/09/2021,364400
"45 unpushed st., atlanta, ga",1954,1592,3.5,1,07/08/2021,313000
"182 water-sodden ave., las vegas, nv",1970,1573,3.5,1,07/09/2021,300600
"103 latins st., las vegas, nv",2010,1865,4.5,2,12/10/2021,337900
"36  mites  ave.,  las  vegas,  nv",2019,1526,3.5,2,23/08/2021,254000
"9 schiller st., atlanta, ga",1952,1825,4.5,2,29/07/2021,352600
"18 looked ave., las vegas, nv",1993,1511,3.5,1,21/09/2021,258200
"192 exponentiates rd., houston, tx",2007,1643,0,1,03/09/2021,259400
"46  narina  rd.,  phoenix,  az",1991,1921,4.5,2,15/08/2021,327600
"166 mavens ave., houston, tx",1986,1437,0,2,25/10/2021,286100
"37 unroll rd., las vegas, nv",1960,1648,4,1,20/08/2021,284100
"192 rayonism st., las vegas, nv",2002,1606,4,2,17/09/2021,263600
"94 factorize rd., phoenix, az",1951,1829,4.5,2,26/08/2021,391300
"152 plumelets rd., las vegas, nv",1998,1614,4,2,21/09/2021,262800
"142 clavipectoral st., houston, tx",1998,1947,0,2,20/09/2021,408200
"130 militarisation st., phoenix, az",2007,1496,3.5,2,10/10/2021,247200
"28 finches rd., las vegas, nv",1987,1436,3.5,2,13/08/2021,265000
"131 transposal st., atlanta, ga",1984,1685,4,2,28/10/2021,283000
"194  motherfuck  st.,  las  vegas,  nv",1973,1642,4,1,09/10/2021,351800
"78 gallivat rd., phoenix, az",1980,1713,4,2,18/07/2021,285900
"15 jerseyman st., atlanta, ga",2011,1960,4.5,1,02/09/2021,389800
"147 flipsides st., phoenix, az",1955,1602,4,2,04/09/2021,299900
"9 compsognathus ave., las vegas, nv",2009,1637,4,1,29/07/2021,336700
"173 largish st., las vegas, nv",2003,1903,4.5,2,12/08/2021,320000
"195 uploadable st., las vegas, nv",1999,1475,3.5,1,21/10/2021,288300
"87 marquis st., atlanta, ga",1966,1547,3.5,1,19/09/2021,315900
"188 liberty cap st., las vegas, nv",2003,1519,3.5,1,13/10/2021,286800
"188 features rd., phoenix, az",1985,1767,4,2,03/10/2021,326900
"199 reasonably st., atlanta, ga",1999,1439,3.5,1,16/08/2021,314100
"84 algerie ave., phoenix, az",2018,1445,3.5,1,29/07/2021,312100
"66 weakling ave., houston, tx",1976,1823,0,2,10/08/2021,374700
"122 clinometric ave., atlanta, ga",2008,1797,4,2,14/11/2021,317400
"157 badineries rd., atlanta, ga",2000,1857,4.5,2,02/11/2021,379000
"104 pinschers rd., las vegas, nv",1979,1648,4,2,19/07/2021,296600
"49 hipbone rd., phoenix, az",1966,1555,3.5,1,08/09/2021,265700
"65 pigeon ave., las vegas, nv",2007,1819,4.5,1,06/09/2021,383000
"87 senega rd., atlanta, ga",1959,1911,4.5,2,26/07/2021,349900
"81 glass-works rd., phoenix, az",1999,1981,4.5,2,16/08/2021,377300
"81  somesthetic  st.,  atlanta,  ga",1974,1418,3.5,2,20/08/2021,298800
"186 granivore st., las vegas, nv",2019,1585,3.5,2,20/10/2021,260400
"155 tichodroma ave., phoenix, az",1981,1831,4.5,2,31/07/2021,333000
"119 headlines st., las vegas, nv",2013,1765,4,1,08/09/2021,311400
"102 truss-block ave., phoenix, az",1965,1789,4,1,13/11/2021,292200
"102 eligibleness rd., las vegas, nv",1987,1547,3.5,1,11/11/2021,316000
"52 chequebook st., houston, tx",1993,1872,0,1,17/08/2021,339000
"85 alleve ave., phoenix, az",1989,1656,4,2,05/10/2021,272400
"116 laddess st., phoenix, az",2014,1456,3.5,2,27/07/2021,303900
"183  wagoners  rd.,  atlanta,  ga",1956,1944,4.5,1,12/11/2021,345600
"123 thamar st., phoenix, az",1951,1443,3.5,2,08/10/2021,267400
"29 neogrammarians st., phoenix, az",1955,1920,4.5,1,25/07/2021,385500
"153 fibrinopeptide rd., atlanta, ga",1983,1979,4.5,2,30/08/2021,358300
"119 accessions st., atlanta, ga",1971,1530,3.5,1,20/09/2021,302900
"184 dissolvent rd., las vegas, nv",1953,1671,4,2,28/10/2021,350900
"76 unbespeak ave., atlanta, ga",2002,1901,4.5,2,23/09/2021,391900
"197 jungle-nail rd., atlanta, ga",1958,1538,3.5,1,28/08/2021,296100
"127 gibbsite ave., phoenix, az",2015,1540,3.5,2,30/09/2021,317800
"68 franconia st., las vegas, nv",2000,1925,4.5,2,16/09/2021,372900
"79  phonemicized  st.,  phoenix,  az",1959,1803,4.5,1,05/08/2021,347700
"74 cyberactivist st., atlanta, ga",1959,1573,3.5,1,30/09/2021,302200
"196 neurasthenias st., las vegas, nv",1962,1433,3.5,2,19/09/2021,234600
"104 bonding st., phoenix, az",1992,1614,4,2,23/10/2021,334700
"116 autoclaves rd., houston, tx",1998,1824,0,2,17/09/2021,397600
"98 provider st., phoenix, az",2006,1758,4,2,26/09/2021,314100
"123 tintinnabulate st., phoenix, az",1999,1767,4,1,23/09/2021,355100
"37  nonappearance  st.,  atlanta,  ga",1976,1803,4.5,2,10/10/2021,299800
"86 harpress ave., atlanta, ga",2014,1820,4.5,2,10/08/2021,324900
"105 watchmaking ave., atlanta, ga",2005,1621,4,2,28/09/2021,324800
"109  perimorphs  st.,  atlanta,  ga",1974,1424,3.5,2,03/11/2021,266500
"78 end-effector ave., phoenix, az",1996,1542,3.5,2,25/08/2021,260400
"95 unchasteness st., phoenix, az",1990,1695,4,1,25/07/2021,275600
"161 bluebill st., atlanta, ga",1984,1723,4,2,12/09/2021,298800
"19 ducally st., houston, tx",1975,1693,0,2,09/08/2021,320400
"32 seismoscope st., atlanta, ga",2019,1535,3.5,2,15/09/2021,317000
"85 decorticating st., las vegas, nv",1973,1928,4.5,2,23/07/2021,349600
"21 yoctometer rd., atlanta, ga",1985,1410,3.5,2,15/08/2021,248400
"156 outreach rd., houston, tx",1962,1616,0,1,11/11/2021,326300
"150 ecdyses ave., las vegas, nv",1952,1871,4.5,2,22/10/2021,391300
"79 acid-loving ave., phoenix, az",1952,1893,4.5,2,08/11/2021,324400
"136 smother st., las vegas, nv",1967,1478,3.5,1,14/08/2021,243300
"56 santa monica st., houston, tx",1967,1655,0,1,02/08/2021,348000
"122 cardioids st., phoenix, az",1994,1494,3.5,2,31/07/2021,268200
"94 reforges st., phoenix, az",1958,1754,4,2,17/10/2021,291900
"90 draftsmanly st., atlanta, ga",1977,1989,4.5,2,12/08/2021,400500
"121 sovereign st., phoenix, az",1963,1633,4,1,17/09/2021,342900
"146 confalon st., atlanta, ga",1969,1965,4.5,2,20/10/2021,350200
"171 intranasally st., atlanta, ga",2015,1598,3.5,1,03/08/2021,269600
"44  plumbed  rd.,  las  vegas,  nv",1969,1840,4.5,2,20/08/2021,374400
"27 bioanalyzer rd., phoenix, az",1993,1996,4.5,2,10/10/2021,415300
"30 eusociality rd., houston, tx",1961,1429,0,1,30/07/2021,296600
"175 caked rd., phoenix, az",1970,1963,4.5,2,08/11/2021,369500
"147 fembot ave., phoenix, az",2009,1901,4.5,2,31/07/2021,388600
"112 earphone st., atlanta, ga",1957,1597,3.5,2,26/10/2021,334400
"134 yardies st., atlanta, ga",1970,1805,4.5,1,20/08/2021,380300
"42  yersiniosis  rd.,  phoenix,  az",1965,1512,3.5,2,26/10/2021,270800
"131 vulcanisable st., atlanta, ga",2003,1529,3.5,2,08/09/2021,321300
"4 nonquota st., phoenix, az",1990,1761,4,2,26/10/2021,308800
"188 papistical ave., phoenix, az",2019,1830,4.5,2,03/09/2021,365100
"80 helmintholithus st., phoenix, az",1980,1599,3.5,1,31/08/2021,329300
"137 nonsocialist rd., atlanta, ga",1998,1881,4.5,1,30/10/2021,311800
"152 whift st., phoenix, az",1987,1645,4,2,13/09/2021,312300
"6 puteal st., atlanta, ga",2009,1800,4.5,2,09/08/2021,307200
"115 tanists ave., phoenix, az",1979,1674,4,1,22/08/2021,312600
"74 inedible ave., las vegas, nv",1952,1789,4,2,31/10/2021,362300
"160 morphosyntax rd., phoenix, az",2015,1482,3.5,2,08/10/2021,294500
"73 unworthier ave., phoenix, az",1996,1974,4.5,2,09/08/2021,343200
"67 teenhood rd., atlanta, ga",2005,1890,4.5,1,13/11/2021,339300
"75 airmailing st., atlanta, ga",2018,1727,4,1,22/09/2021,302100
"150 gambrel ave., las vegas, nv",2011,1571,3.5,1,25/07/2021,300000
"116 hondo st., las vegas, nv",1958,1915,4.5,2,09/10/2021,399200
"164 septicopyemia rd., phoenix, az",1977,1496,3.5,1,30/10/2021,317600
"177 subventions st., atlanta, ga",1962,1998,4.5,1,02/11/2021,382200
"93 parent-form rd., atlanta, ga",1982,1728,4,2,17/10/2021,344400
"43 history st., phoenix, az",2010,1875,4.5,1,29/10/2021,337200
"193 a-lister rd., las vegas, nv",1966,1743,4,1,14/10/2021,315400
"36 autosome st., phoenix, az",1977,1614,4,2,07/09/2021,282100
"20 accomplishers st., phoenix, az",1967,1848,4.5,1,16/09/2021,340900
"158 librpc st., las vegas, nv",2006,1762,4,1,06/10/2021,373900
"157 latterly ave., phoenix, az",1963,1898,4.5,1,24/10/2021,344700
"193 disconnected st., atlanta, ga",1996,1971,4.5,2,17/10/2021,310600
"72 coders st., las vegas, nv",2004,1562,3.5,1,20/08/2021,259500
"196 citral rd., atlanta, ga",2004,1529,3.5,1,07/10/2021,237600
"13 telex rd., las vegas, nv",1995,1510,3.5,2,27/07/2021,301400
"178 outshouts st., atlanta, ga",1965,1805,4.5,2,30/09/2021,294200
"40 absurdnesses rd., phoenix, az",1999,1428,3.5,1,27/09/2021,285400
"192 semi-conscious st., las vegas, nv",1998,1544,3.5,2,25/08/2021,275100
"117  discursiveness  ave.,  las  vegas,  nv",1971,1942,4.5,2,17/10/2021,326200
"107 oceanian st., phoenix, az",1977,1784,4,1,01/08/2021,313500
"55  kittled  st.,  atlanta,  ga",1964,1766,4,1,17/10/2021,367700
"67 braidings rd., atlanta, ga",2007,1968,4.5,2,25/08/2021,336700
"29 enforceth ave., phoenix, az",1987,1783,4,1,03/08/2021,300700
"119 fawningly rd., phoenix, az",1987,1627,4,2,22/09/2021,362500
"126 dye-beck rd., phoenix, az",1977,1778,4,2,13/11/2021,327800
"64 japanization rd., phoenix, az",1978,1545,3.5,2,14/11/2021,274400
"89 brodie st., las vegas, nv",2005,1556,3.5,2,05/09/2021,326500
"57 turvy rd., phoenix, az",1982,1434,3.5,1,04/09/2021,263900
"23 sculptress ave., atlanta, ga",2001,1469,3.5,2,12/09/2021,242700
"80 varanids st., las vegas, nv",2019,1463,3.5,1,18/08/2021,266800
"103 papillary ave., phoenix, az",1995,1625,4,2,18/08/2021,298100
"41 bargeman st., phoenix, az",1997,1613,4,1,04/11/2021,325300
"1 parakeet rd., phoenix, az",1975,1672,4,2,28/08/2021,338600
"154 unbending st., phoenix, az",1978,1754,4,2,06/09/2021,384600
"174 sociolects ave., atlanta, ga",1972,1409,3.5,2,10/10/2021,288900
"81 glass-works rd., phoenix, az",1999,1981,4.5,2,16/08/2021,377300
"36  coastlines  rd.,  atlanta,  ga",1969,1602,4,1,26/08/2021,310000
"168 hydrosulfuric st., phoenix, az",1985,1928,4.5,2,11/08/2021,357000
"45 outreached rd., atlanta, ga",1998,1416,3.5,1,04/10/2021,257400
"159 fox-sparrow st., phoenix, az",2007,1819,4.5,2,24/10/2021,359000
"117 raker st., las vegas, nv",1950,1406,3.5,1,28/08/2021,286900
"104 microlens rd., las vegas, nv",1991,1666,4,1,19/10/2021,290100
"110 simplex rd., atlanta, ga",1990,1496,3.5,1,14/10/2021,276700
"192  coral  sea  st.,  houston,  tx",1988,1609,0,2,16/08/2021,283700
"133 inaugurated ave., atlanta, ga",1966,1777,4,2,24/08/2021,312200
"153 fibrinopeptide rd., atlanta, ga",1983,1979,4.5,2,30/08/2021,358300
"161 jelutongs ave., atlanta, ga",2008,1704,4,1,13/09/2021,322800
"69 alcaics st., phoenix, az",2011,1967,4.5,2,13/10/2021,370300
"11 titillated ave., phoenix, az",2005,1696,4,1,08/08/2021,276600
"161 bluebill st., atlanta, ga",1984,1723,4,2,12/09/2021,298800
"27 jaghires ave., phoenix, az",1952,1770,4,2,18/10/2021,358500
"28 decollation rd., las vegas, nv",1987,1512,3.5,2,09/08/2021,268900
"158 candareen st., atlanta, ga",1971,1636,4,1,24/07/2021,329400
"14 sickliness st., houston, tx",2018,1551,0,1,25/07/2021,264000
"158 privatissimum st., atlanta, ga",1953,1791,4,2,14/08/2021,371700
"167 piquillos st., las vegas, nv",2006,1555,3.5,2,25/10/2021,262700
"127 breezeblocks st., houston, tx",1984,1519,0,2,02/09/2021,325400
"161 mountain-flower rd., phoenix, az",1976,1796,4,2,07/08/2021,312400
"176 blasto rd., phoenix, az",1986,1484,3.5,1,07/09/2021,276300
"15 nephritic st., houston, tx",2007,1535,0,1,13/10/2021,307300
"119 unloosen ave., phoenix, az",1970,1677,4,1,10/10/2021,286400
"151  page-turner  ave.,  houston,  tx",2018,1642,0,1,15/10/2021,338000
"59 lunulate st., phoenix, az",1992,1740,4,2,09/09/2021,324300
"19 st helens st., las vegas, nv",2001,1643,4,2,30/09/2021,268000
"72 coscreenwriter ave., phoenix, az",1977,1491,3.5,1,08/08/2021,309400
"118 herculean st., phoenix, az",2016,1606,4,1,17/10/2021,270500
"23 tummy rd., phoenix, az",2018,1600,4,1,08/09/2021,262300
"184 fango st., atlanta, ga",1967,1499,3.5,1,14/11/2021,246200
"85 amnesia rd., phoenix, az",1959,1457,3.5,2,01/10/2021,257900
"126  homeward-bound  st.,  phoenix,  az",1973,1819,4.5,2,07/08/2021,313200
"53 versified ave., phoenix, az",1992,1951,4.5,2,14/10/2021,388800
"79 cahuilla ave., houston, tx",2001,1979,0,1,04/09/2021,389800
"22 dignitary st., atlanta, ga",1979,1984,4.5,1,07/08/2021,428700
"62 intuition rd., phoenix, az",2000,1413,3.5,1,19/08/2021,256500
"54 chumps st., phoenix, az",1975,1696,4,1,25/08/2021,334300
"90 harps st., phoenix, az",1968,1927,4.5,2,04/10/2021,302900
"133 semi-metal st., las vegas, nv",2009,1436,3.5,1,14/09/2021,268800
"71 overgrazing st., phoenix, az",1991,1839,4.5,2,18/09/2021,297000
"152 unmollified st., phoenix, az",1957,1492,3.5,1,29/08/2021,309600
"7 partita st., atlanta, ga",1971,1992,4.5,2,21/08/2021,391100
"180 lambiness ave., atlanta, ga",2010,1834,4.5,2,27/10/2021,342700
"111 accho rd., phoenix, az",1986,1803,4.5,2,20/10/2021,339900
"42 suffocating st., las vegas, nv",2000,1579,3.5,1,11/11/2021,302400
"107 galvano ave., atlanta, ga",1999,1779,4,1,01/09/2021,349200
